iter	Passed	Remaining
440	1351	1713
441	1354	1710
442	1357	1707
443	1361	1704
444	1364	1701
445	1367	1698
446	1370	1695
447	1373	1692
448	1377	1690
449	1380	1687
450	1384	1684
451	1387	1682
452	1390	1679
453	1394	1676
454	1397	1673
455	1400	1670
456	1403	1668
457	1407	1665
458	1410	1662
459	1413	1659
460	1416	1656
461	1419	1652
462	1422	1649
463	1425	1647
464	1428	1644
465	1431	1640
466	1435	1638
467	1438	1635
468	1441	1632
469	1445	1629
470	1448	1626
471	1451	1623
472	1454	1620
473	1457	1617
474	1460	1614
475	1463	1611
476	1467	1608
477	1470	1605
478	1473	1602
479	1476	1599
480	1479	1596
481	1482	1593
482	1485	1590
483	1488	1587
484	1492	1584
485	1495	1581
486	1498	1579
487	1502	1576
488	1505	1573
489	1508	1570
490	1512	1567
491	1515	1564
492	1518	1562
493	1522	1559
494	1526	1557
495	1530	1555
496	1534	1552
497	1537	1550
498	1541	1547
499	1545	1545
500	1548	1542
501	1552	1540
502	1556	1537
503	1560	1535
504	1563	1532
505	1567	1529
506	1570	1527
507	1574	1524
508	1577	1521
509	1580	1518
510	1584	1515
511	1587	1513
512	1590	1510
513	1594	1507
514	1597	1504
515	1600	1501
516	1603	1498
517	1606	1495
518	1610	1492
519	1613	1489
520	1617	1486
521	1620	1483
522	1623	1480
523	1626	1477
524	1629	1474
525	1633	1472
526	1636	1469
527	1640	1466
528	1644	1463
529	1647	1461
530	1651	1458
531	1654	1455
532	1657	1452
533	1660	1449
534	1663	1445
535	1666	1442
536	1669	1439
537	1673	1436
538	1676	1433
539	1679	1430
540	1682	1427
541	1685	1423
542	1688	1420
543	1691	1417
544	1694	1414
545	1697	1411
546	1700	1408
547	1703	1405
548	1706	1402
549	1710	1399
550	1713	1396
551	1716	1393
552	1719	1389
553	1722	1386
554	1725	1383
555	1729	1380
556	1732	1377
557	1735	1374
558	1738	1371
559	1741	1368
560	1744	1365
561	1748	1362
562	1751	1359
563	1754	1356
564	1757	1353
565	1760	1349
566	1763	1346
567	1767	1343
568	1770	1340
569	1773	1337
570	1776	1334
571	1780	1331
572	1783	1329
573	1786	1326
574	1790	1323
575	1793	1320
576	1796	1317
577	1800	1314
578	1803	1311
579	1806	1308
580	1810	1305
581	1813	1302
582	1817	1299
583	1820	1296
584	1824	1293
585	1827	1290
586	1830	1287
587	1833	1284
588	1837	1281
589	1840	1278
590	1843	1275
591	1846	1272
592	1850	1269
593	1853	1266
594	1856	1263
595	1860	1260
596	1863	1257
597	1866	1254
598	1869	1251
599	1873	1248
600	1876	1245
601	1879	1242
602	1883	1239
603	1886	1236
604	1889	1233
605	1892	1230
606	1895	1227
607	1899	1224
608	1902	1221
609	1905	1218
610	1908	1215
611	1911	1212
612	1915	1209
613	1918	1206
614	1921	1203
615	1924	1199
616	1927	1196
617	1931	1193
618	1934	1190
619	1937	1187
620	1940	1184
621	1943	1181
622	1947	1178
623	1950	1175
624	1953	1172
625	1956	1169
626	1960	1166
627	1963	1163
628	1967	1160
629	1970	1157
630	1972	1153
631	1976	1150
632	1979	1147
633	1982	1144
634	1985	1141
635	1988	1138
636	1991	1135
637	1995	1132
638	1998	1129
639	2001	1126
640	2005	1123
641	2008	1119
642	2011	1116
643	2014	1113
644	2018	1110
645	2021	1107
646	2025	1104
647	2028	1101
648	2031	1098
649	2035	1095
650	2038	1092
651	2042	1090
652	2046	1087
653	2049	1084
654	2053	1081
655	2056	1078
656	2059	1075
657	2063	1072
658	2066	1069
659	2070	1066
660	2073	1063
661	2076	1060
662	2080	1057
663	2083	1054
664	2086	1051
665	2089	1048
666	2093	1044
667	2096	1041
668	2099	1038
669	2102	1035
670	2105	1032
671	2109	1029
672	2112	1026
673	2115	1023
674	2118	1020
675	2122	1017
676	2125	1014
677	2128	1011
678	2132	1007
679	2135	1004
680	2139	1002
681	2142	999
682	2146	996
683	2149	993
684	2153	990
685	2156	987
686	2160	984
687	2164	981
688	2168	978
689	2171	975
690	2174	972
691	2178	969
692	2181	966
693	2185	963
694	2188	960
695	2192	957
696	2195	954
697	2199	951
698	2202	948
699	2205	945
700	2209	942
701	2212	939
702	2215	935
703	2218	932
704	2221	929
705	2224	926
706	2228	923
707	2231	920
708	2234	917
709	2237	913
710	2240	910
711	2244	907
712	2247	904
713	2250	901
714	2253	898
715	2257	895
716	2260	892
717	2263	888
718	2266	885
719	2269	882
720	2272	879
721	2275	876
722	2279	873
723	2282	869
724	2285	866
725	2288	863
726	2292	860
727	2295	857
728	2298	854
729	2301	851
730	2304	848
731	2308	845
732	2311	842
733	2314	838
734	2318	835
735	2321	832
736	2324	829
737	2327	826
738	2330	823
739	2334	820
740	2337	816
741	2340	813
742	2343	810
743	2347	807
744	2350	804
745	2353	801
746	2356	798
747	2360	795
748	2363	792
749	2366	788
750	2370	785
751	2373	782
752	2376	779
753	2379	776
754	2382	773
755	2386	770
756	2389	766
757	2392	763
758	2395	760
759	2398	757
760	2402	754
761	2405	751
762	2409	748
763	2412	745
764	2415	741
765	2418	738
766	2421	735
767	2425	732
768	2428	729
769	2431	726
770	2434	723
771	2437	720
772	2441	716
773	2444	713
774	2447	710
775	2450	707
776	2454	704
777	2457	701
778	2460	698
779	2463	694
780	2467	691
781	2470	688
782	2473	685
783	2476	682
784	2480	679
785	2483	676
786	2486	672
787	2490	669
788	2493	666
789	2496	663
790	2500	660
791	2503	657
792	2506	654
793	2509	651
794	2513	648
795	2516	644
796	2519	641
797	2522	638
798	2526	635
799	2529	632
800	2532	629
801	2535	625
802	2538	622
803	2541	619
804	2545	616
805	2548	613
806	2551	610
807	2554	607
808	2558	603
809	2561	600
810	2564	597
811	2568	594
812	2571	591
813	2574	588
814	2578	585
815	2581	582
816	2584	578
817	2588	575
818	2591	572
819	2594	569
820	2597	566
821	2600	563
822	2604	560
823	2607	556
824	2610	553
825	2613	550
826	2617	547
827	2620	544
828	2623	541
829	2626	537
830	2629	534
831	2633	531
832	2636	528
833	2639	525
834	2642	522
835	2645	519
836	2648	515
837	2652	512
838	2655	509
839	2658	506
840	2662	503
841	2665	500
842	2669	497
843	2672	493
844	2675	490
845	2678	487
846	2681	484
847	2684	481
848	2687	478
849	2691	474
850	2694	471
851	2697	468
852	2700	465
853	2703	462
854	2707	459
855	2710	455
856	2713	452
857	2716	449
858	2720	446
859	2723	443
860	2726	440
861	2729	436
862	2732	433
863	2735	430
864	2739	427
865	2742	424
866	2745	421
867	2749	418
868	2752	414
869	2755	411
870	2759	408
871	2763	405
872	2766	402
873	2769	399
874	2773	396
875	2776	393
876	2780	389
877	2783	386
878	2786	383
879	2789	380
880	2792	377
881	2795	374
882	2798	370
883	2801	367
884	2805	364
885	2808	361
886	2811	358
887	2814	355
888	2818	351
889	2821	348
890	2824	345
891	2828	342
892	2831	339
893	2834	336
894	2837	332
895	2841	329
896	2844	326
897	2847	323
898	2850	320
899	2854	317
900	2857	313
901	2861	310
902	2864	307
903	2868	304
904	2871	301
905	2874	298
906	2878	295
907	2881	291
908	2884	288
909	2887	285
910	2891	282
911	2894	279
912	2897	276
913	2900	272
914	2903	269
915	2906	266
916	2909	263
917	2913	260
918	2916	257
919	2919	253
920	2922	250
921	2926	247
922	2929	244
923	2933	241
924	2936	238
925	2939	234
926	2942	231
927	2945	228
928	2948	225
929	2952	222
930	2955	219
931	2958	215
932	2962	212
933	2965	209
934	2968	206
935	2971	203
936	2974	200
937	2978	196
938	2981	193
939	2985	190
940	2988	187
941	2992	184
942	2995	181
943	2999	177
944	3002	174
945	3005	171
946	3009	168
947	3012	165
948	3015	162
949	3019	158
950	3022	155
951	3025	152
952	3028	149
953	3031	146
954	3034	143
955	3038	139
956	3041	136
957	3044	133
958	3047	130
959	3051	127
960	3054	123
961	3058	120
962	3061	117
963	3065	114
964	3068	111
965	3071	108
966	3075	104
967	3078	101
968	3081	98
969	3085	95
970	3089	92
971	3093	89
972	3096	85
973	3100	82
974	3103	79
975	3107	76
976	3110	73
977	3114	70
978	3117	66
979	3120	63
980	3124	60
981	3127	57
982	3131	54
983	3134	50
984	3137	47
985	3141	44
986	3144	41
987	3147	38
988	3151	35
989	3154	31
990	3157	28
991	3160	25
992	3163	22
993	3166	19
994	3170	15
995	3174	12
996	3177	9
997	3180	6
998	3183	3
999	3187	0
